campaign_id,item_id,platform,post_id,user_id,timestamp,post_text,hashtags,country,region,city,sentiment_score,sentiment_label,topic_classification,ad_mention,emoji_score
CMP003,ITEM_1031,Instagram,e5d598de-2598-4d41-94db-eb87bb106754,user_114,6/26/2025 0:08,Of provide side where have free whom.,['#SummerKicks'],USA,Arizona,Phoenix,0.47,Positive,Ad Feedback,TRUE,5
CMP004,ITEM_1004,YouTube,e1e4c33f-facf-4d8c-b049-f89b6bf6f50d,user_784,5/10/2025 21:01,Sign too first special be effort participant receive exactly.,['#RunFast2025'],USA,Florida,Miami,0.09,Neutral,Product Review,FALSE,4
CMP005,ITEM_1027,Twitter,d2d671c4-4a03-4008-9830-3d23e3ebe861,user_951,7/5/2025 14:48,Both either your ago assume business perform five.,['#FootwearGoals'],USA,Florida,Orlando,0.04,Neutral,Brand Perception,FALSE,3
CMP005,ITEM_1028,Instagram,7d685280-f572-4cb4-b064-0ebe0fe26b52,user_253,8/9/2025 22:35,Mouth even tree minute include yet human heart bit face develop soldier.,['#RunFast2025'],USA,Texas,Dallas,0.71,Positive,Product Review,TRUE,0
CMP001,ITEM_1045,Instagram,47fe948f-f850-439c-b3fc-8d9ecd1fa162,user_234,8/1/2025 22:54,Age such month although lot practice matter blood begin.,['#SneakerDrop'],USA,California,Los Angeles,-0.95,Negative,Product Review,FALSE,5
CMP004,ITEM_1013,YouTube,ac646c5d-2cda-4725-9fed-ef34fc375a87,user_135,5/13/2025 5:34,Various training generation without recognize woman interest.,['#FootwearGoals'],USA,California,San Diego,0.85,Positive,Brand Perception,TRUE,0
CMP001,ITEM_1042,TikTok,f756947a-645d-4f9f-a390-6c935e6f5662,user_362,5/29/2025 21:34,Candidate wear occur high area loss past open behavior interview country national.,['#FitInStyle'],USA,Massachusetts,Boston,0.81,Positive,Ad Feedback,TRUE,3
CMP003,ITEM_1006,Twitter,ef3c04dc-070d-48cb-ae8e-62e71ed57469,user_196,7/12/2025 1:56,Section like scene buy great image catch natural first that accept pick.,['#RunFast2025'],USA,Colorado,Denver,0.6,Positive,Delivery,FALSE,1
CMP001,ITEM_1028,YouTube,2dbf5c63-901e-40a1-ad64-a2a3c91574fc,user_100,8/21/2025 15:09,Into suddenly Republican safe majority along nor three member.,['#SneakerDrop'],USA,Texas,Austin,-0.41,Negative,Ad Feedback,TRUE,1
CMP004,ITEM_1031,TikTok,82f09c05-ba2f-460c-b65c-99752a5f4c9b,user_218,5/7/2025 16:55,Only south cut whole fight minute between manager in peace teacher.,['#FitInStyle'],USA,California,Los Angeles,0.3,Positive,Brand Perception,FALSE,3
CMP003,ITEM_1027,YouTube,3fb6c16d-8337-4fd4-a36d-19a7ef316a45,user_677,7/15/2025 2:49,Improve page discuss lay try major painting thus tax.,['#FitInStyle'],USA,Florida,Miami,0.45,Positive,Ad Feedback,TRUE,5
CMP003,ITEM_1003,Instagram,3b931b65-3195-4b0f-befa-5bcd47777e09,user_598,9/15/2025 17:21,Call explain place yourself threat such.,['#FitInStyle'],USA,Colorado,Denver,-0.63,Negative,Ad Feedback,TRUE,1
CMP001,ITEM_1038,Instagram,d91ea4de-a23d-4c56-ba03-5e7f7acc614f,user_691,8/11/2025 13:12,Require region wear tonight if miss character mouth product surface certainly join.,['#RunFast2025'],USA,Massachusetts,Boston,0.92,Positive,Product Review,TRUE,4
CMP001,ITEM_1026,YouTube,3fedf92f-2735-4c52-8d2e-e6e7fe885b7b,user_578,8/22/2025 21:14,Specific for likely authority pay point next push lose accept radio I.,['#FootwearGoals'],USA,Washington,Seattle,-0.86,Negative,Delivery,TRUE,2
CMP004,ITEM_1008,Facebook,1af0d706-aa24-416f-971b-fc9e5b89f6d2,user_468,6/22/2025 4:07,Hotel attention yeah operation story your off choice social body if.,['#SummerKicks'],USA,Texas,Dallas,0.73,Positive,Ad Feedback,TRUE,4
CMP002,ITEM_1032,Facebook,ef7335f5-bfaa-44a9-a3b5-99bc0cb703c1,user_135,8/10/2025 1:55,Voice full team window claim alone his walk house send fine become front.,['#SummerKicks'],USA,Texas,Dallas,-0.74,Negative,Product Review,FALSE,4
CMP003,ITEM_1039,YouTube,2d96722b-9c86-4736-bf60-11437d42775c,user_8,7/20/2025 8:40,Cup but first visit or edge enter store agreement avoid.,['#FootwearGoals'],USA,Arizona,Phoenix,-0.93,Negative,Product Review,FALSE,0
CMP001,ITEM_1047,YouTube,922036c0-796c-4c34-a024-0cc9e82c44de,user_159,9/13/2025 13:07,Sister exist trip another fine laugh take open age movement.,['#SummerKicks'],USA,Arizona,Phoenix,0.04,Neutral,Product Review,FALSE,4
CMP004,ITEM_1016,Instagram,b10686b4-0bd3-49d5-84ac-334547faab83,user_94,4/9/2025 8:39,Prepare environment morning later politics plant theory rock without individual.,['#FitInStyle'],USA,Arizona,Phoenix,0.53,Positive,Product Review,FALSE,1
CMP004,ITEM_1035,TikTok,fb7559f4-0678-49e6-bad7-66d90190b7fe,user_574,9/28/2025 2:15,Outside around risk religious cultural student away head against speech see establish.,['#SneakerDrop'],USA,Texas,Dallas,0.92,Positive,Product Review,TRUE,2
CMP005,ITEM_1035,Twitter,bbce20e9-5d20-4941-b805-aaa936dc4795,user_440,9/26/2025 11:33,Third yeah capital rich spring finish level drive write fill.,['#RunFast2025'],USA,California,Los Angeles,0.93,Positive,Ad Feedback,FALSE,1
CMP002,ITEM_1042,Instagram,aeb069de-55e0-477d-ab0a-6603c198f6e3,user_362,5/7/2025 14:42,Phone take foot federal radio century office.,['#FootwearGoals'],USA,Massachusetts,Boston,-0.48,Negative,Product Review,TRUE,1
CMP004,ITEM_1001,Twitter,2c8b8c9c-26a2-4644-a805-c18212dba904,user_754,4/7/2025 6:07,Reflect call represent sometimes table home much program actually notice.,['#SummerKicks'],USA,Massachusetts,Boston,-0.4,Negative,Product Review,FALSE,1
CMP001,ITEM_1024,Instagram,b4882cca-6aa9-41d9-9602-4754739e231f,user_879,6/18/2025 4:37,Pressure reality create beautiful ball once.,['#FitInStyle'],USA,Illinois,Chicago,0.94,Positive,Delivery,FALSE,1
CMP002,ITEM_1001,Twitter,3f28b2fa-5597-4d55-8414-752e1ddb7694,user_408,9/17/2025 1:29,Body physical economic how worker president sort discover ok side.,['#SummerKicks'],USA,Arizona,Phoenix,-0.32,Negative,Delivery,FALSE,5
CMP005,ITEM_1025,YouTube,1ee7fa51-75a5-4977-b81d-29434aecd0b1,user_339,6/5/2025 4:41,Question answer other care president later modern per.,['#SneakerDrop'],USA,Texas,Dallas,-0.82,Negative,Delivery,TRUE,0
CMP005,ITEM_1027,Facebook,66368dd0-fa9e-4563-9aa7-46b2de3050fd,user_746,4/20/2025 18:48,Finally business any much listen candidate building news business cup.,['#SummerKicks'],USA,Massachusetts,Boston,0,Neutral,Brand Perception,TRUE,2
CMP001,ITEM_1045,TikTok,18557e5b-f849-4ddd-af93-991db5f0f3e0,user_1,8/5/2025 13:52,Song response light rather continue development local.,['#FootwearGoals'],USA,Colorado,Denver,0.09,Neutral,Product Review,FALSE,3
CMP001,ITEM_1042,Facebook,d9b3fe1b-846b-48ce-83e7-a18f4da24591,user_638,5/17/2025 13:37,Adult protect week land challenge only effort PM.,['#SummerKicks'],USA,Texas,Austin,-0.5,Negative,Delivery,FALSE,5
CMP004,ITEM_1020,TikTok,84eeb5d3-b450-44e7-b04e-ce7a36e3d578,user_713,7/2/2025 9:01,Sing notice place thank less outside.,['#SummerKicks'],USA,Colorado,Denver,0.59,Positive,Brand Perception,TRUE,4
CMP005,ITEM_1019,TikTok,c00ebffa-1b62-4806-bfd0-c5a2b9c5a61f,user_561,4/4/2025 13:03,Idea likely poor wrong space idea.,['#SneakerDrop'],USA,Arizona,Phoenix,0.6,Positive,Delivery,FALSE,3
CMP004,ITEM_1043,Twitter,0e8ab997-0fa3-423c-b9a9-0ee94117c4ee,user_523,9/20/2025 7:48,Big conference student within modern step effort understand never other.,['#FitInStyle'],USA,Florida,Orlando,0.36,Positive,Delivery,TRUE,1
CMP003,ITEM_1014,Twitter,de62bcf3-c3b4-4f93-8def-d0b5397a2c8e,user_150,9/24/2025 15:33,Better bring guess card show few Mr source room hope least.,['#SneakerDrop'],USA,California,Los Angeles,0.63,Positive,Ad Feedback,FALSE,3
CMP005,ITEM_1012,TikTok,431dfeff-dd3e-4d09-996a-cf9d0af06b85,user_506,6/28/2025 11:53,Across wall world short part conference already mother morning knowledge.,['#FitInStyle'],USA,Illinois,Chicago,0.78,Positive,Ad Feedback,FALSE,1
CMP002,ITEM_1044,YouTube,498cb7c4-863d-45cb-afff-93ea48c29f5b,user_475,7/6/2025 9:51,Above I forward class movie power role relate.,['#SneakerDrop'],USA,Colorado,Denver,0.89,Positive,Brand Perception,TRUE,3
CMP005,ITEM_1035,YouTube,d440b8c5-c566-4190-9831-e09d63448e7e,user_324,6/23/2025 16:20,Son claim mind third plant ground ball easy international line thus hour.,['#FitInStyle'],USA,California,San Diego,-0.38,Negative,Brand Perception,FALSE,1
CMP004,ITEM_1028,Facebook,9bf0a522-99ac-41a9-a60e-3d73af844390,user_769,9/7/2025 12:29,With many research it here allow save long old speech item.,['#RunFast2025'],USA,Texas,Austin,0.84,Positive,Brand Perception,TRUE,2
CMP004,ITEM_1004,Facebook,73066efe-14e0-453d-91df-755e9fa559fd,user_240,4/2/2025 3:28,Service letter or recognize throw green party sister close late them structure want mention.,['#SummerKicks'],USA,Washington,Seattle,0.68,Positive,Product Review,TRUE,1
CMP004,ITEM_1044,Twitter,a0aaea82-35f3-4fcf-8603-47976ccd4f58,user_723,8/21/2025 9:08,Response themselves walk not relate many president million step any become hit candidate.,['#RunFast2025'],USA,Texas,Dallas,0.53,Positive,Brand Perception,FALSE,0
CMP002,ITEM_1026,TikTok,38073b6e-0e13-4620-940b-b6257c72f64a,user_926,4/5/2025 6:25,Now themselves our risk past nearly really.,['#FootwearGoals'],USA,Florida,Orlando,0.92,Positive,Brand Perception,FALSE,0
CMP003,ITEM_1019,TikTok,499df4c4-567d-46d3-a7b6-bab477942a61,user_873,6/19/2025 17:38,Side account under business source week customer present four matter.,['#FitInStyle'],USA,Colorado,Denver,-0.62,Negative,Product Review,FALSE,1
CMP003,ITEM_1027,TikTok,9a0d7109-bbd9-4736-87f4-8ec856a8e7f5,user_29,6/14/2025 4:18,Explain region soon pressure now country.,['#FitInStyle'],USA,Washington,Seattle,0.06,Neutral,Product Review,FALSE,1
CMP005,ITEM_1034,Instagram,b945dd5e-c37f-42f5-bd4b-5efaa62f1be9,user_928,6/22/2025 17:12,Table pattern last you dog data present.,['#FitInStyle'],USA,California,San Diego,-0.09,Neutral,Brand Perception,TRUE,3
CMP002,ITEM_1003,Facebook,3acdcf26-4fb9-4ce9-8ced-87f461c551eb,user_388,5/19/2025 3:15,Suddenly someone southern open free rather bed model process support.,['#SummerKicks'],USA,Illinois,Chicago,0.54,Positive,Brand Perception,FALSE,3
CMP003,ITEM_1005,TikTok,5b72c530-467c-467f-ba65-55185e166b4f,user_19,9/27/2025 10:54,Sing structure all say place company politics development weight cover.,['#FootwearGoals'],USA,California,Los Angeles,-0.76,Negative,Ad Feedback,TRUE,0
CMP002,ITEM_1012,Instagram,1ab4a05e-a411-42ab-919c-01916c57eb87,user_636,6/6/2025 18:02,Company save professional those research early quickly generation.,['#RunFast2025'],USA,Illinois,Chicago,0.77,Positive,Product Review,FALSE,5
CMP003,ITEM_1049,Facebook,90cfb2f1-027d-4c29-91d9-9542e613b0b0,user_171,6/6/2025 13:56,Although church prove away memory occur force book new response almost.,['#FootwearGoals'],USA,California,San Diego,-0.5,Negative,Product Review,FALSE,0
CMP005,ITEM_1001,Facebook,3a462bf3-6a5f-4e86-9297-04fd38f04553,user_589,6/10/2025 4:25,Head really than when hundred suggest activity establish news role.,['#FitInStyle'],USA,Massachusetts,Boston,-0.86,Negative,Product Review,TRUE,5
CMP003,ITEM_1043,YouTube,6be3e654-b760-46f4-94d6-db7e6a936245,user_824,7/29/2025 22:56,Of agent nor head health itself rich sing example.,['#SneakerDrop'],USA,California,San Diego,-0.76,Negative,Brand Perception,FALSE,0
CMP005,ITEM_1041,Facebook,922a86cb-87b5-4b02-adc9-5c485122c854,user_12,5/27/2025 13:26,Myself final make institution weight will cause pattern.,['#FitInStyle'],USA,Georgia,Atlanta,0.97,Positive,Brand Perception,TRUE,3
CMP002,ITEM_1046,YouTube,98321862-ef93-4826-be08-a04ffcbbf8e3,user_988,6/25/2025 2:46,These now data phone continue opportunity mission computer.,['#SummerKicks'],USA,California,San Diego,-0.62,Negative,Brand Perception,FALSE,3
CMP005,ITEM_1017,Facebook,ab091fc1-3eab-469c-9d7d-b03bbb6688e7,user_872,4/19/2025 11:14,Sea attention fast of later factor.,['#RunFast2025'],USA,Texas,Dallas,0.62,Positive,Brand Perception,FALSE,2
CMP001,ITEM_1031,Facebook,9560d8e0-d387-41b3-9332-e1fa21ec1cd6,user_186,4/23/2025 2:48,Water seven allow use operation treatment however arrive beyond simple.,['#FitInStyle'],USA,Illinois,Chicago,0.48,Positive,Delivery,FALSE,4
CMP001,ITEM_1033,Twitter,04fc0f40-e38a-4108-b25c-42c5f5af6f41,user_87,6/3/2025 18:09,Anyone hotel stock teach politics perform.,['#RunFast2025'],USA,Florida,Orlando,0.69,Positive,Product Review,FALSE,5
CMP004,ITEM_1028,Instagram,711cc27b-2032-44cb-8e6e-0862b94467ae,user_95,8/13/2025 14:05,Process bill we public interest yes.,['#SummerKicks'],USA,Illinois,Chicago,0.47,Positive,Delivery,FALSE,4
CMP005,ITEM_1022,TikTok,f4fd5747-6536-4c64-8efd-e6a228ce74f6,user_763,7/3/2025 7:44,His guy whatever painting her dark cell dinner.,['#FootwearGoals'],USA,Washington,Seattle,0.62,Positive,Delivery,FALSE,1
CMP001,ITEM_1046,Twitter,4f6e0d8f-c079-4a32-8656-7217e1c19ac9,user_323,8/19/2025 20:22,Team sea even move car half produce treatment statement nature.,['#SneakerDrop'],USA,Florida,Orlando,0.05,Neutral,Product Review,TRUE,1
CMP004,ITEM_1017,YouTube,33507d36-879f-4ec2-aba8-f9684dc4a7e1,user_778,7/24/2025 22:35,Production either own with four example soldier conference our.,['#FootwearGoals'],USA,California,San Diego,0.37,Positive,Product Review,FALSE,1
CMP003,ITEM_1011,Facebook,06892398-5cef-48a4-a293-d7c5a3697f72,user_14,8/13/2025 9:31,Though radio themselves there truth throughout why modern each want.,['#FootwearGoals'],USA,Florida,Miami,0.98,Positive,Delivery,TRUE,5
CMP004,ITEM_1006,Instagram,1aa4b894-5d1e-475b-b74b-db46a9bc8835,user_587,7/29/2025 10:32,Decade father goal maintain hospital charge product end.,['#SummerKicks'],USA,Georgia,Atlanta,0.54,Positive,Ad Feedback,FALSE,3
CMP001,ITEM_1004,TikTok,5a3e3b09-d288-4f1b-b8f6-2c62b8282fa7,user_503,7/6/2025 18:26,Be American current student occur learn yeah already oil personal successful attention its.,['#SneakerDrop'],USA,California,San Diego,-0.09,Neutral,Product Review,FALSE,0
CMP002,ITEM_1007,YouTube,d14d0bd5-1468-4f00-97c2-7e19cc1ff24b,user_782,9/4/2025 0:59,Somebody strong her window which seven close discover half.,['#FitInStyle'],USA,California,San Diego,0.02,Neutral,Brand Perception,FALSE,3
CMP003,ITEM_1037,TikTok,c1272d2e-ac8e-4baf-9f3d-2dbdc75d783a,user_312,6/2/2025 1:09,Study such space hit child under security.,['#FootwearGoals'],USA,California,San Diego,0.97,Positive,Ad Feedback,TRUE,5
CMP002,ITEM_1016,Instagram,957267b9-b4ed-462e-a7d1-7ef77696e0a1,user_160,5/29/2025 15:13,Cold hope moment experience test table.,['#RunFast2025'],USA,Florida,Miami,-0.07,Neutral,Brand Perception,FALSE,5
CMP005,ITEM_1030,Facebook,e00993d6-3a60-4322-b264-b3346d9cf17b,user_33,8/1/2025 14:04,Rest stop couple government who civil sell international thought past the.,['#RunFast2025'],USA,Arizona,Phoenix,-0.51,Negative,Brand Perception,TRUE,5
CMP002,ITEM_1016,YouTube,99ddbf30-c12c-44d0-ba18-3a24de798f89,user_677,9/10/2025 14:18,Author free draw middle field develop might effect last notice.,['#RunFast2025'],USA,Massachusetts,Boston,0.46,Positive,Product Review,FALSE,1
CMP001,ITEM_1003,Twitter,0e1b2530-0d00-4714-b17b-0ec775165a65,user_811,7/16/2025 23:05,Any data result statement decide thousand.,['#SummerKicks'],USA,California,San Diego,-0.6,Negative,Delivery,FALSE,0
CMP004,ITEM_1044,Facebook,87d4d60d-7ec9-4a6a-81cd-511b53173acb,user_716,8/1/2025 10:08,Rich of poor picture skill still work gas tend second.,['#FitInStyle'],USA,Arizona,Phoenix,0,Neutral,Ad Feedback,TRUE,3
CMP003,ITEM_1038,Facebook,3df903e0-c5d2-4935-8e95-89109c474310,user_26,4/24/2025 5:36,Less floor collection detail us bit another cultural.,['#SneakerDrop'],USA,Illinois,Chicago,-0.41,Negative,Ad Feedback,FALSE,4
CMP001,ITEM_1048,Twitter,6903f6cd-08a4-44bd-a977-6b2578ce6522,user_481,4/29/2025 22:05,Notice charge society yeah to politics east its simple all college.,['#FootwearGoals'],USA,Texas,Austin,0.49,Positive,Brand Perception,FALSE,0
CMP004,ITEM_1022,TikTok,2e48cd87-8485-4d54-899f-fb5c4de8eeb4,user_341,4/13/2025 8:52,Standard follow war computer through necessary happy smile.,['#SummerKicks'],USA,Texas,Austin,0.41,Positive,Brand Perception,FALSE,2
CMP004,ITEM_1048,YouTube,28d53e29-0ebb-444e-9c19-eb240f506802,user_37,4/28/2025 6:02,Like student item show space I training.,['#FitInStyle'],USA,Texas,Dallas,0.53,Positive,Brand Perception,TRUE,5
CMP005,ITEM_1029,TikTok,8f02d8d0-aea9-457c-acf3-0aa70e48bc26,user_55,7/22/2025 21:14,Moment manage buy only mind leave something off.,['#RunFast2025'],USA,Colorado,Denver,0.83,Positive,Brand Perception,TRUE,1
CMP003,ITEM_1035,Twitter,74493bb5-4d7a-4ed1-a863-c92ba2f8d9f3,user_949,9/21/2025 19:48,Billion check able trade adult public Democrat production and.,['#SummerKicks'],USA,Georgia,Atlanta,-0.66,Negative,Ad Feedback,TRUE,5
CMP002,ITEM_1019,YouTube,59c80f0a-6fa1-499a-8086-280a52afd2c6,user_14,8/27/2025 6:13,Role win season agency something admit no table where black really.,['#FootwearGoals'],USA,Massachusetts,Boston,0.99,Positive,Ad Feedback,FALSE,0
CMP002,ITEM_1031,Facebook,920bb0c8-0b9f-45b8-bf36-012420201601,user_521,8/13/2025 0:55,Hour water physical entire mind crime break perform require open lay.,['#SummerKicks'],USA,Massachusetts,Boston,-0.31,Negative,Product Review,FALSE,4
CMP002,ITEM_1024,Twitter,45cffca6-6694-4097-a571-4b17551f1204,user_943,7/9/2025 17:02,Beautiful career skill what should successful purpose market into wish.,['#FootwearGoals'],USA,Colorado,Denver,-0.9,Negative,Ad Feedback,FALSE,3
CMP003,ITEM_1032,Facebook,77bece0c-14f8-423e-96f6-50260bee68d1,user_840,6/5/2025 2:51,Also region think drug ahead color time similar body.,['#SneakerDrop'],USA,Arizona,Phoenix,-0.41,Negative,Brand Perception,TRUE,3
CMP005,ITEM_1030,Facebook,08cd92ec-dffc-4722-b612-c82615b191f3,user_340,9/11/2025 15:42,Seat cell remember challenge dream rock.,['#FootwearGoals'],USA,Colorado,Denver,0.95,Positive,Product Review,TRUE,4
CMP004,ITEM_1014,TikTok,f87d8ba8-ec20-4319-aa61-86adee04e8db,user_44,8/11/2025 17:45,Worker our rest wall three peace say offer.,['#SummerKicks'],USA,Florida,Orlando,0.94,Positive,Brand Perception,FALSE,5
CMP002,ITEM_1031,Instagram,15aebba9-8fcb-4881-8324-05a12678327f,user_129,4/26/2025 4:45,Company partner apply participant black test population rule human indeed morning give wind.,['#FootwearGoals'],USA,California,San Diego,0.37,Positive,Brand Perception,TRUE,4
CMP004,ITEM_1000,Twitter,61be8236-2ff9-4275-ac65-57c004c22520,user_419,9/14/2025 0:53,Project work choose business receive statement fight.,['#RunFast2025'],USA,Texas,Dallas,0.98,Positive,Delivery,FALSE,5
CMP001,ITEM_1021,YouTube,a4de4aea-0e65-4526-a85c-57b46ede8627,user_389,8/14/2025 2:09,Energy military table that them century.,['#SummerKicks'],USA,Texas,Austin,-0.47,Negative,Ad Feedback,TRUE,1
CMP003,ITEM_1014,Instagram,491bf3ee-28b6-4fcc-8a60-11890728a387,user_444,9/17/2025 23:26,Song table sign believe ball coach story she rock hope current office surface.,['#SneakerDrop'],USA,Texas,Austin,-0.93,Negative,Product Review,FALSE,0
CMP001,ITEM_1020,Instagram,db6f93d0-f18d-44a5-9d50-1f35890b0eee,user_300,4/16/2025 19:34,Until range scientist author manager note similar so imagine man civil entire.,['#SummerKicks'],USA,Washington,Seattle,0.47,Positive,Brand Perception,TRUE,1
CMP002,ITEM_1005,YouTube,6dfca8db-afd9-41eb-88b7-2319332ecafa,user_891,9/9/2025 4:25,When often despite affect discussion eat know such another.,['#FitInStyle'],USA,California,San Diego,0,Neutral,Product Review,TRUE,3
CMP003,ITEM_1029,Facebook,913bfd37-e24d-4e16-b922-bed49f7e474e,user_682,4/19/2025 2:34,Interesting deep treatment bag read though involve billion.,['#SneakerDrop'],USA,Georgia,Atlanta,-0.53,Negative,Product Review,TRUE,3
CMP003,ITEM_1037,Facebook,aa9b0fca-58c6-4682-ac2d-218c21831471,user_654,9/12/2025 18:06,Occur address member surface every firm full none foreign break middle door.,['#FitInStyle'],USA,Florida,Orlando,0.89,Positive,Product Review,FALSE,3
CMP001,ITEM_1015,TikTok,8fa493be-1027-4159-aa6a-16575a0d6360,user_585,5/17/2025 9:09,Order create result situation health class audience leg support interesting.,['#SummerKicks'],USA,California,San Diego,0.79,Positive,Ad Feedback,FALSE,2
CMP001,ITEM_1036,Instagram,3bcc62a6-25f7-4c37-8c80-8b915bf52de0,user_932,8/10/2025 2:30,Issue yard four administration career least thought decision box deep treatment nearly.,['#FootwearGoals'],USA,Florida,Orlando,0.93,Positive,Delivery,TRUE,4
CMP003,ITEM_1014,Twitter,0b4fbd78-ed1e-430b-bc24-670660f91fbb,user_635,5/5/2025 0:16,Part southern work full arm article.,['#SummerKicks'],USA,Texas,Austin,-0.46,Negative,Product Review,TRUE,5
CMP001,ITEM_1019,TikTok,edaadc6d-8650-41f7-b29a-d56533ef64a7,user_34,5/1/2025 3:50,Participant who pick everything vote they actually represent half together activity challenge.,['#FootwearGoals'],USA,Washington,Seattle,-0.94,Negative,Delivery,FALSE,5
CMP004,ITEM_1011,Twitter,39f2cdab-7349-4011-b0e2-8573979eae58,user_135,9/9/2025 3:16,Support skill recent go inside food story laugh among protect cut everyone.,['#FootwearGoals'],USA,Washington,Seattle,0.08,Neutral,Product Review,FALSE,3
CMP003,ITEM_1047,Facebook,354b26b0-b601-4861-a712-252974cb81ce,user_823,7/16/2025 14:45,Herself actually about organization five culture top young back might.,['#SneakerDrop'],USA,Georgia,Atlanta,-0.9,Negative,Product Review,FALSE,4
CMP003,ITEM_1005,TikTok,05602fc6-b86c-45b4-8839-388465ea53a2,user_14,9/13/2025 18:26,Man hear Mrs big chair whole music themselves candidate short serious.,['#SummerKicks'],USA,Colorado,Denver,0.56,Positive,Delivery,FALSE,5
CMP003,ITEM_1006,Twitter,7dd1517a-acfa-4569-aefe-5782d9f4b4e9,user_482,6/26/2025 5:58,The allow condition produce again daughter drive from.,['#SneakerDrop'],USA,California,San Diego,-0.61,Negative,Product Review,TRUE,5
CMP004,ITEM_1044,Facebook,5807bcff-bbdb-4180-bec9-d8a7635901a2,user_664,4/22/2025 17:25,Edge kind street themselves degree friend hand before cell nothing middle.,['#FitInStyle'],USA,Texas,Dallas,0.96,Positive,Delivery,FALSE,0
CMP001,ITEM_1015,YouTube,2c7a60bb-e542-4dd4-8c1a-6ea650c5cce1,user_138,6/7/2025 19:01,Economic enter thought cover end story air amount smile.,['#FitInStyle'],USA,Georgia,Atlanta,0.96,Positive,Brand Perception,TRUE,3
CMP001,ITEM_1031,YouTube,1557e9c8-7504-4726-89df-6b40824ff777,user_417,8/25/2025 15:00,Chair she interest affect piece step blue chance deep make mind.,['#SummerKicks'],USA,California,Los Angeles,-0.06,Neutral,Brand Perception,TRUE,2
